H,292,299,504,438,325,0,0,0
H,294,299,506,440,325,0,0,0
H,292,297,504,440,326,1,0,0
H,292,298,503,439,327,0,0,0
H,293,298,503,439,326,0,0,0
H,293,297,503,440,327,0,0,0
H,292,298,504,441,327,5,7,9
H,293,300,503,440,329,16,22,31
H,293,299,502,441,328,12,15,23
H,292,296,503,441,329,5,5,8
H,292,297,502,440,328,2,1,3
H,295,297,502,441,327,0,0,0
H,293,297,502,440,328,0,0,0
H,293,299,501,442,330,1,0,0
H,293,298,501,440,327,0,0,0
H,292,298,500,440,328,0,0,0
H,292,298,498,441,325,0,0,0
H,290,300,496,445,319,8,9,12
H,293,301,501,449,323,15,18,25
H,294,301,499,448,324,10,11,17
H,293,299,501,444,323,3,3,4
H,294,301,500,443,322,0,0,0
H,295,299,499,443,325,0,0,0
H,294,297,498,443,324,0,0,0
H,294,296,499,443,324,0,0,0
H,292,296,496,442,325,0,0,0
H,293,297,496,442,322,0,0,0
H,294,297,494,441,325,6,9,10
H,295,298,493,442,326,16,22,31
H,295,299,493,440,329,10,12,17
H,295,297,492,441,326,2,1,2
H,295,298,492,441,326,0,0,0
H,294,297,492,441,327,0,0,0
H,293,298,488,441,327,1,0,0
H,296,296,489,440,326,0,0,0
H,295,298,488,441,325,0,0,0
H,296,299,488,441,326,7,9,11
H,295,298,490,439,327,17,20,28
H,295,299,488,439,327,20,24,34
H,296,298,488,439,326,2,1,1
H,294,300,488,439,324,0,0,0
H,294,299,487,439,325,0,0,0
H,295,298,488,439,325,0,0,0
H,295,299,488,439,325,0,0,0
H,294,298,487,437,325,0,0,0
H,296,299,487,438,325,7,9,11
H,296,301,487,438,328,16,19,28
H,295,300,486,438,326,6,7,10
H,295,299,486,437,327,1,0,1
H,296,300,486,437,326,0,0,0
