S,266,254,247,221,319,4,5,7
S,267,254,250,221,319,12,14,19
S,268,253,253,222,321,12,14,19
S,268,255,254,222,321,11,12,16
S,269,254,255,222,322,9,9,14
S,269,256,257,222,321,6,7,9
S,268,254,254,224,322,5,5,6
S,267,254,255,223,323,2,2,3
S,268,254,255,223,322,2,2,2
S,269,255,256,223,323,2,2,2
S,268,254,256,223,323,2,2,1
S,267,254,255,223,324,0,0,0
S,268,255,255,223,324,0,0,0
S,267,255,252,224,323,0,0,0
S,267,254,253,224,323,0,0,0
S,268,254,251,225,324,0,0,0
S,268,255,252,225,325,0,1,0
S,269,254,255,227,325,5,8,10
S,269,255,254,226,326,3,5,6
S,270,255,257,226,326,12,14,19
S,270,256,258,226,327,10,11,15
S,269,256,259,226,327,9,9,14
S,269,256,259,227,327,6,7,10
S,268,256,258,226,327,3,3,3
S,269,256,258,227,327,3,2,3
S,269,256,258,226,327,2,2,2
S,269,256,258,227,329,1,1,1
S,268,255,255,227,327,0,0,0
S,269,256,258,227,328,0,0,0
S,267,256,257,227,327,0,0,0
S,269,256,257,227,327,0,0,0
S,268,256,254,228,327,0,0,0
S,269,256,255,228,327,0,0,0
S,270,256,257,228,328,0,1,0
S,269,257,255,228,329,5,7,10
S,270,257,256,228,329,13,15,20
S,270,257,260,229,329,13,15,20
S,270,258,260,229,329,11,13,17
S,271,257,261,230,329,9,10,14
S,271,257,261,229,330,9,9,13
S,271,257,261,229,329,8,8,12
S,270,259,262,230,330,9,9,16
S,271,257,261,229,331,3,3,4
S,270,256,261,229,330,2,2,3
S,271,257,262,230,330,2,2,2
S,271,258,260,230,331,2,2,2
S,270,257,261,230,331,2,1,1
S,270,257,259,230,331,2,1,1
S,270,257,261,230,331,1,1,0
S,271,257,262,230,330,1,0,0
S,260,247,253,226,306,1,0,0
S,260,248,250,227,308,1,1,0
S,258,248,247,228,308,0,0,0
S,261,249,244,229,308,0,0,0
S,261,249,245,230,311,6,7,8
S,262,249,259,231,310,7,8,10
S,261,249,257,231,311,2,1,1
S,262,251,256,232,311,0,0,0
S,264,250,250,231,310,0,0,0
S,262,250,246,231,309,0,0,0
S,263,251,246,232,311,4,6,6
S,264,251,259,233,312,9,9,12
S,263,250,260,234,312,2,1,1
S,265,252,256,233,312,0,0,0
S,263,254,253,234,308,0,0,0
S,264,252,249,234,310,0,0,0
S,263,253,247,235,312,1,2,3
S,265,253,258,235,313,13,14,18
S,264,253,259,235,304,2,2,2
S,266,255,253,230,277,0,0,0
S,265,253,255,231,280,1,1,0
S,265,255,250,233,282,0,0,0
S,266,254,248,242,331,0,0,0
S,265,252,260,244,324,11,14,18
S,269,255,263,237,281,7,7,9
S,267,255,260,236,284,1,1,1
S,267,256,259,238,287,1,0,0
S,266,254,254,239,289,0,0,0
S,269,257,251,238,288,0,0,0
S,268,256,254,239,289,6,7,8
S,270,258,267,239,291,7,7,9
S,270,255,263,240,292,2,2,2
S,269,257,260,240,290,0,0,0
S,268,256,260,241,293,1,1,1
S,268,256,256,242,292,0,0,0
S,269,257,250,241,293,2,4,5
S,270,258,262,243,295,13,15,19
S,268,258,268,241,300,4,3,5
S,267,260,264,244,323,0,0,0
S,267,256,266,245,324,1,0,0
S,266,257,258,248,324,0,0,0
S,268,256,255,248,322,0,0,0
S,268,258,263,249,323,11,13,18
S,267,257,272,249,327,4,4,5
S,268,256,271,249,323,0,0,0
S,267,256,266,251,325,1,1,0
S,265,256,262,251,323,0,0,0
S,268,257,254,250,323,0,0,0
S,269,259,266,251,324,12,15,19
S,267,258,275,252,323,5,5,7
